r,t,region_name,tech_name,cat,renew,peak_GW,first_GW,last_GW,n_dips,biggest_dip_GW,biggest_pos_delta_GW,pulse_ratio,monotone_increasing
R17,P21230,Malaysia,Gas Combined Cycle_MYPE,Gas,False,15.908501000000001,12.13,15.908501000000001,1,-0.35609999999999964,2.7144340000000025,1.3130331076686734,False
R15,P16068,Brunei,All Mines,Other,False,0.42173861505296667,0.42173861505296667,0.08359505257380022,1,-0.33814356247916644,0.0,,False
R12,P2683,Myanmar,LPG,Other,False,0.456215934835609,0.22025951293288712,0.2359564219027219,1,-0.22025951293288712,0.2359564219027219,,False
R19,P16131,Philippines,All Mines,Other,False,0.8003240174359478,0.18877401028794802,0.6115500071479998,1,-0.18877401028794805,0.6115500071479998,,False
R15,P2516,Brunei,Electricity,Other,False,0.8448257396649194,0.8448257396649194,0.6837121155142887,1,-0.16111362415063069,0.0,,False
R14,P16068,Vietnam,All Mines,Other,False,0.36960794205000097,0.16108556052747317,0.2085223815225278,1,-0.16108556052747317,0.2085223815225278,,False
R16,P15321,Singapore,Gas Combined Cycle with CCS,Gas,False,0.49186826543561,0.15384615384615388,0.3380221115894564,1,-0.15384615384615363,0.33802211158945583,1.999999999999998,False
R15,P2641,Brunei,Electricity,Other,False,0.7916017180660294,0.7916017180660294,0.6406382522368885,1,-0.15187701141498822,0.0009135455858473307,,False
R6,P2831,Cambodia,Gas Combined Cycle,Gas,False,1.7389788715130872,0.15,1.7389788715130872,1,-0.15000000000000002,0.9389788715130871,1.079919816042481,False
R11,P16131,Thailand,All Mines,Other,False,0.27614611872146116,0.13807305936073058,0.13807305936073058,1,-0.13807305936073058,0.13807305936073058,,False
R13,P2521,Laos,Natural Gas,Other,False,0.7040452158795277,0.6648824329769496,0.5832621820829573,1,-0.0946062254643868,0.03916278290257813,,False
R13,P2605,Laos,Natural Gas,Other,False,0.7040452158795277,0.6648824329769496,0.5832621820829573,1,-0.0946062254643868,0.03916278290257813,,False
R15,P2627,Brunei,All Mines,Other,False,0.1378363189348234,0.08981229522277165,0.042528891414590014,1,-0.08981229522277165,0.042528891414590014,1.7711506919782434,False
R15,P2831,Brunei,Gas Combined Cycle,Gas,False,0.8313767819586007,0.4493765819586007,0.7480002,1,-0.08337658195860065,0.18983339999999993,1.227370062612015,False
