region,tech_name,year,capital_inv,fixed_OM,variable_OM,disc_capex,disc_opex,disc_salvage
Cambodia,Geothermal ORC,2055,0.0000,0.0000,0.0000,0.0000,1.2183,0.0000
Cambodia,Jet Kerosene Imports,2025,0.0000,0.0000,36.7054,0.0000,35.4844,0.0000
Cambodia,Jet Kerosene Imports,2030,0.0000,0.0000,51.0588,0.0000,184.2556,0.0000
Cambodia,Jet Kerosene Imports,2035,0.0000,0.0000,60.6852,0.0000,162.2339,0.0000
Cambodia,Jet Kerosene Imports,2040,0.0000,0.0000,71.0182,0.0000,135.2781,0.0000
Cambodia,Jet Kerosene Imports,2045,0.0000,0.0000,81.1704,0.0000,110.3868,0.0000
Cambodia,Jet Kerosene Imports,2050,0.0000,0.0000,91.9996,0.0000,89.5008,0.0000
Cambodia,Jet Kerosene Imports,2055,0.0000,0.0000,104.2736,0.0000,72.3263,0.0000
Cambodia,Jet Kerosene Imports,2060,0.0000,0.0000,118.1851,0.0000,58.4475,0.0000
Cambodia,LNG Imports,2025,0.0000,0.0000,3.3859,0.0000,3.2733,0.0000
Cambodia,LNG Imports,2030,0.0000,0.0000,11.4445,0.0000,31.2736,0.0000
Cambodia,LNG Imports,2035,0.0000,0.0000,18.6035,0.0000,43.9367,0.0000
Cambodia,LNG Imports,2040,0.0000,0.0000,25.0319,0.0000,44.9081,0.0000
Cambodia,LNG Imports,2045,0.0000,0.0000,30.6639,0.0000,40.5987,0.0000
Cambodia,LNG Imports,2050,0.0000,0.0000,35.3255,0.0000,34.1457,0.0000
Cambodia,LNG Imports,2055,0.0000,0.0000,39.3001,0.0000,27.4625,0.0000
Cambodia,LNG Imports,2060,0.0000,0.0000,42.6545,0.0000,21.4650,0.0000
Cambodia,LPG Imports,2025,0.0000,0.0000,67.3378,0.0000,65.0979,0.0000
Cambodia,LPG Imports,2030,0.0000,0.0000,114.0627,0.0000,387.2574,0.0000
Cambodia,LPG Imports,2035,0.0000,0.0000,116.8859,0.0000,337.1998,0.0000
Cambodia,LPG Imports,2040,0.0000,0.0000,114.9197,0.0000,237.5644,0.0000
Cambodia,LPG Imports,2045,0.0000,0.0000,106.6868,0.0000,158.3241,0.0000
Cambodia,LPG Imports,2050,0.0000,0.0000,97.0414,0.0000,103.6207,0.0000
Cambodia,LPG Imports,2055,0.0000,0.0000,100.6403,0.0000,72.3781,0.0000
Cambodia,LPG Imports,2060,0.0000,0.0000,104.6680,0.0000,53.6066,0.0000
Cambodia,Large Hydro,2025,593.6855,74.7300,4.3125,593.6855,76.4132,13.2037
Cambodia,Large Hydro,2030,0.0000,104.3988,4.9683,0.0000,378.7413,0.0000
Cambodia,Large Hydro,2035,0.0000,109.7768,2.8241,0.0000,312.2913,0.0000
Cambodia,Large Hydro,2040,0.0000,111.5316,3.3108,0.0000,227.9652,0.0000
Cambodia,Large Hydro,2045,0.0000,109.7639,5.3146,0.0000,164.0663,0.0000
Cambodia,Large Hydro,2050,0.0000,107.9961,5.4634,0.0000,116.1147,0.0000
Cambodia,Large Hydro,2055,0.0000,107.9961,5.4050,0.0000,82.8383,0.0000
Cambodia,Large Hydro,2060,0.0000,107.9961,5.5882,0.0000,59.1042,0.0000
Cambodia,Lithium Ion Batteries,2025,0.0000,9.9844,0.0000,0.0000,9.6523,0.0000
Cambodia,Lithium Ion Batteries,2030,0.0000,10.5000,0.0000,0.0000,37.1770,0.0000
Cambodia,Lithium Ion Batteries,2035,0.0000,9.7250,0.0000,0.0000,27.4842,0.0000
Cambodia,Lithium Ion Batteries,2040,0.0000,8.9500,0.0000,0.0000,18.0343,0.0000
Cambodia,Lithium Ion Batteries,2045,0.0000,8.1750,0.0000,0.0000,11.7448,0.0000
Cambodia,Lithium Ion Batteries,2050,0.0000,7.4000,0.0000,0.0000,7.5800,0.0000
Cambodia,Lithium Ion Batteries,2055,0.0000,7.4000,0.0000,0.0000,5.4044,0.0000
Cambodia,Lithium Ion Batteries,2060,0.0000,7.4000,0.0000,0.0000,3.8533,0.0000
Cambodia,Lubricants Imports,2025,0.0000,0.0000,6.1965,0.0000,5.9904,0.0000
Cambodia,Lubricants Imports,2030,0.0000,0.0000,6.1965,0.0000,24.5618,0.0000
Cambodia,Lubricants Imports,2035,0.0000,0.0000,6.1965,0.0000,17.5122,0.0000
Cambodia,Lubricants Imports,2040,0.0000,0.0000,6.1965,0.0000,12.4860,0.0000
Cambodia,Lubricants Imports,2045,0.0000,0.0000,6.1965,0.0000,8.9023,0.0000
Cambodia,Lubricants Imports,2050,0.0000,0.0000,6.1965,0.0000,6.3472,0.0000
Cambodia,Lubricants Imports,2055,0.0000,0.0000,6.8351,0.0000,4.7927,0.0000
Cambodia,Lubricants Imports,2060,0.0000,0.0000,7.7470,0.0000,3.8312,0.0000
Cambodia,PEM Electrolysis,2030,6.6293,0.1988,0.0000,5.4363,0.4515,0.0000
Cambodia,PEM Electrolysis,2035,24.3608,0.9026,0.0000,14.2432,1.6693,0.0000
Cambodia,PEM Electrolysis,2040,44.0532,2.0834,0.0000,18.3643,3.0612,1.1208
Cambodia,PEM Electrolysis,2045,54.8182,3.3436,0.0000,16.2931,3.7951,2.6827
Cambodia,PEM Electrolysis,2050,0.0000,2.5886,0.0000,0.0000,2.6515,0.0000
Cambodia,PEM Electrolysis,2055,0.0000,2.4968,0.0000,0.0000,1.8521,0.0000
Cambodia,PEM Electrolysis,2060,0.0000,2.1072,0.0000,0.0000,1.1839,0.0000
Cambodia,Pumped Hydro,2030,0.0000,8.3000,0.0000,0.0000,18.8512,0.0000
Cambodia,Pumped Hydro,2035,0.0000,23.2400,0.0000,0.0000,47.6501,0.0000
Cambodia,Pumped Hydro,2040,0.0000,25.9375,0.0000,0.0000,49.9431,0.0000
Cambodia,Pumped Hydro,2045,0.0000,25.9375,0.0000,0.0000,37.2636,0.0000
Cambodia,Pumped Hydro,2050,0.0000,25.9375,0.0000,0.0000,26.5684,0.0000
Cambodia,Pumped Hydro,2055,0.0000,25.9375,0.0000,0.0000,18.9429,0.0000
Cambodia,Pumped Hydro,2060,0.0000,25.9375,0.0000,0.0000,13.5060,0.0000
Cambodia,SMR,2025,0.1115,0.0036,0.0000,0.1115,0.0035,0.0000
Cambodia,SMR,2030,0.0000,0.0036,0.0000,0.0000,0.0143,0.0000
Cambodia,SMR,2035,0.0000,0.0036,0.0000,0.0000,0.0102,0.0000
Cambodia,SMR,2040,0.0000,0.0036,0.0000,0.0000,0.0073,0.0000
Cambodia,SMR,2045,0.0000,0.0036,0.0000,0.0000,0.0052,0.0000
Cambodia,SMR,2050,125.8222,4.1015,0.0000,26.6635,2.4089,8.2654
Cambodia,SMR,2055,338.5708,15.1381,0.0000,51.1552,7.6139,26.2851
Cambodia,SMR,2060,109.3887,18.7039,0.0000,11.7840,8.9465,9.4240
Cambodia,Small Hydro,2025,428.3186,7.6000,0.6125,428.3186,7.9393,0.0000
Cambodia,Small Hydro,2030,0.0000,7.6000,0.5701,0.0000,32.4564,0.0000
Cambodia,Small Hydro,2035,0.0000,7.6000,0.4594,0.0000,22.9105,0.0000
Cambodia,Small Hydro,2040,0.0000,7.6000,0.4701,0.0000,16.2520,0.0000
Cambodia,Small Hydro,2045,0.0000,7.6000,0.4719,0.0000,11.5955,0.0000
Cambodia,Small Hydro,2050,0.0000,7.6000,0.4766,0.0000,8.2710,0.0000
Cambodia,Small Hydro,2055,0.0000,0.0000,0.0000,0.0000,2.5187,0.0000
Cambodia,Solar Domestic Production,2025,0.0000,0.0000,0.0011,0.0000,0.0010,0.0000
Cambodia,Solar Domestic Production,2030,0.0000,0.0000,0.0016,0.0000,0.0054,0.0000
Cambodia,Solar Domestic Production,2035,0.0000,0.0000,0.0020,0.0000,0.0051,0.0000
Cambodia,Solar Domestic Production,2040,0.0000,0.0000,0.0025,0.0000,0.0046,0.0000
Cambodia,Solar Domestic Production,2045,0.0000,0.0000,0.0023,0.0000,0.0034,0.0000
Cambodia,Solar Domestic Production,2050,0.0000,0.0000,0.0028,0.0000,0.0026,0.0000
Cambodia,Solar Domestic Production,2055,0.0000,0.0000,0.0028,0.0000,0.0020,0.0000
Cambodia,Solar Domestic Production,2060,0.0000,0.0000,0.0028,0.0000,0.0015,0.0000
Cambodia,Solar Floating,2025,67.6808,0.3780,0.0000,67.6808,0.3654,0.0000
Cambodia,Solar Floating,2030,0.0000,0.3360,0.0000,0.0000,1.3318,0.0000
Cambodia,Solar Floating,2035,0.0000,0.3203,0.0000,0.0000,0.9053,0.0000
Cambodia,Solar Floating,2040,0.0000,0.3046,0.0000,0.0000,0.6138,0.0000
Cambodia,Solar Floating,2045,0.0000,0.0000,0.0000,0.0000,0.1773,0.0000
Cambodia,Solar PV,2025,300.0352,16.0050,0.0000,300.0352,15.4726,0.0000
Cambodia,Solar PV,2030,0.0000,36.4270,0.0000,0.0000,106.7043,0.0000
Cambodia,Solar PV,2035,0.0000,68.7748,0.0000,0.0000,153.6742,0.0000
Cambodia,Solar PV,2040,0.0000,66.0825,0.0000,0.0000,133.1563,0.0000
Cambodia,Solar PV,2045,0.0000,64.5705,0.0000,0.0000,93.6939,0.0000
