region,tech_name,output_fuel,year,capacity_GW,residual_GW,new_capacity_GW,production_PJ
Indonesia,Biomass Other_IDKA,Electricity output from Centralized Electricity Generation,2045,0.4740,0.4740,0.0000,11.9594
Indonesia,Biomass Other_IDKA,Electricity output from Centralized Electricity Generation,2050,0.4740,0.4740,0.0000,11.9594
Indonesia,Biomass Other_IDKA,Electricity output from Centralized Electricity Generation,2055,0.4740,0.4740,0.0000,11.9594
Indonesia,Biomass Other_IDKA,Electricity output from Centralized Electricity Generation,2060,0.4740,0.4740,0.0000,11.9594
Indonesia,Biomass Other_IDSA,Electricity output from Centralized Electricity Generation,2025,2.3197,2.3197,0.0000,0.0000
Indonesia,Biomass Other_IDSA,Electricity output from Centralized Electricity Generation,2030,2.7067,2.7067,0.0000,0.0000
Indonesia,Biomass Other_IDSA,Electricity output from Centralized Electricity Generation,2035,2.7557,2.7557,0.0000,0.0000
Indonesia,Biomass Other_IDSA,Electricity output from Centralized Electricity Generation,2040,2.7557,2.7557,0.0000,0.0000
Indonesia,Biomass Other_IDSA,Electricity output from Centralized Electricity Generation,2045,2.7557,2.7557,0.0000,69.5232
Indonesia,Biomass Other_IDSA,Electricity output from Centralized Electricity Generation,2050,2.7557,2.7557,0.0000,69.5232
Indonesia,Biomass Other_IDSA,Electricity output from Centralized Electricity Generation,2055,2.7557,2.7557,0.0000,69.5232
Indonesia,Biomass Other_IDSA,Electricity output from Centralized Electricity Generation,2060,2.7557,2.7557,0.0000,69.5232
Indonesia,Coal Subcritical_IDEast,Electricity output from Centralized Electricity Generation,2025,9.8062,9.8062,0.0000,21.6049
Indonesia,Coal Subcritical_IDEast,Electricity output from Centralized Electricity Generation,2030,9.8702,9.8702,0.0000,14.0899
Indonesia,Coal Subcritical_IDEast,Electricity output from Centralized Electricity Generation,2035,9.8762,9.8762,0.0000,12.5320
Indonesia,Coal Subcritical_IDEast,Electricity output from Centralized Electricity Generation,2040,9.8762,9.8762,0.0000,25.9301
Indonesia,Coal Subcritical_IDEast,Electricity output from Centralized Electricity Generation,2045,9.8762,9.8762,0.0000,199.3327
Indonesia,Coal Subcritical_IDEast,Electricity output from Centralized Electricity Generation,2050,9.8762,9.8762,0.0000,199.3327
Indonesia,Coal Subcritical_IDEast,Electricity output from Centralized Electricity Generation,2055,9.8762,9.8762,0.0000,199.3327
Indonesia,Coal Subcritical_IDEast,Electricity output from Centralized Electricity Generation,2060,9.8762,9.8762,0.0000,199.3327
Indonesia,Coal Subcritical_IDJW,Electricity output from Centralized Electricity Generation,2025,38.2565,38.2565,0.0000,368.5976
Indonesia,Coal Subcritical_IDJW,Electricity output from Centralized Electricity Generation,2030,38.2565,38.2565,0.0000,121.6218
Indonesia,Coal Subcritical_IDJW,Electricity output from Centralized Electricity Generation,2035,38.2565,38.2565,0.0000,105.9649
Indonesia,Coal Subcritical_IDJW,Electricity output from Centralized Electricity Generation,2040,38.2565,38.2565,0.0000,348.3767
Indonesia,Coal Subcritical_IDJW,Electricity output from Centralized Electricity Generation,2045,38.2565,38.2565,0.0000,772.1332
Indonesia,Coal Subcritical_IDJW,Electricity output from Centralized Electricity Generation,2050,38.2565,38.2565,0.0000,772.1332
