branch_path,variable,units,scale,per
Transformation\Biodiesel Production\Processes\POME Biodiesel,Salvage Value,2020 USD,,Gigajoules/Year
Transformation\Biodiesel Production\Processes\POME Biodiesel,Stranded Cost,2020 USD,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Variable OM Cost,2020 USD,,Gigajoule
Transformation\Biodiesel Production\Processes\POME Biodiesel\Feedstock Fuels\Palm Oil Mill Effluent,Feedstock Fuel Share,U.S. Dollar,,Gigajoule
Transformation\Biodiesel Production\Processes\POME Biodiesel\Feedstock Fuels\Palm Oil Mill Effluent,Fuel Cost,U.S. Dollar,,Gigajoule
Transformation\Biodiesel Production\Processes\POME Biodiesel\Feedstock Fuels\Palm Oil Mill Effluent,Fuel Source,U.S. Dollar,,Gigajoule
Transformation\Bioethanol Production,Module Costs,2020 USD,,
Transformation\Bioethanol Production,Optimize,None,,
Transformation\Bioethanol Production,Peak Load Ratio,Percent,,
Transformation\Bioethanol Production,Planning Reserve Margin,Percent,,
Transformation\Bioethanol Production,Renewable Target,Percent,,
Transformation\Bioethanol Production,Use Addition Size,None,,
Transformation\Bioethanol Production\Output Fuels\Ethanol,Export Target,Tonnes of Oil Equivalent,,
Transformation\Bioethanol Production\Output Fuels\Ethanol,Import Target,Tonnes of Oil Equivalent,Thousand,
Transformation\Bioethanol Production\Output Fuels\Ethanol,Output Price,U.S. Dollar,,Kilowatt-Hour
Transformation\Bioethanol Production\Output Fuels\Ethanol,Output Share,Share,%,
Transformation\Bioethanol Production\Output Fuels\Ethanol,Shortfall Rule,None,,
Transformation\Bioethanol Production\Output Fuels\Ethanol,Surplus Rule,None,,
Transformation\Bioethanol Production\Output Fuels\Ethanol,Usage Rule,None,,
Transformation\Bioethanol Production\Output Fuels\Ethanol\Land Use,Avg Environmental Loading,Hectare,,Gigajoule
Transformation\Bioethanol Production\Output Fuels\Ethanol\Land Use,BioProdYield,litre/tonne,,
Transformation\Bioethanol Production\Output Fuels\Ethanol\Land Use,CropYield,tonne/ha,,
Transformation\Bioethanol Production\Processes\Cassava,Capacity Credit,Percent,,
Transformation\Bioethanol Production\Processes\Cassava,Capital Cost,2020 USD,,Tonne Coal Equiv/Year
Transformation\Bioethanol Production\Processes\Cassava,Dispatch Rule,None,,
Transformation\Bioethanol Production\Processes\Cassava,Dispatchable,Yes/No,,
Transformation\Bioethanol Production\Processes\Cassava,Endogenous Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Cassava,Exogenous Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Cassava,First Simulation Year,Years,,
Transformation\Bioethanol Production\Processes\Cassava,Fixed OM Cost,2020 USD,,Tonne Coal Equiv/Year
Transformation\Bioethanol Production\Processes\Cassava,Historical Production,Tonnes of Oil Equivalent,Thousand,
Transformation\Bioethanol Production\Processes\Cassava,Interest Rate,Percent,,
Transformation\Bioethanol Production\Processes\Cassava,Lifetime,Years,,
Transformation\Bioethanol Production\Processes\Cassava,Maximum Availability,Percent,,
Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity Addition,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Cassava,Maximum Production,Gigajoule,,
Transformation\Bioethanol Production\Processes\Cassava,Maximum_Share_of_Production,%,,
Transformation\Bioethanol Production\Processes\Cassava,Merit Order,Merit Order,,
Transformation\Bioethanol Production\Processes\Cassava,Minimum Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Cassava,Minimum Capacity Addition,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Cassava,Minimum Production,Gigajoule,,
Transformation\Bioethanol Production\Processes\Cassava,Minimum Share of Production,Percent,,
Transformation\Bioethanol Production\Processes\Cassava,Minimum Utilization,Percent,,
Transformation\Bioethanol Production\Processes\Cassava,Optimized New Capacity,Tonne Coal Equiv/Year,Million,
Transformation\Bioethanol Production\Processes\Cassava,Process Efficiency,Percent,,
Transformation\Bioethanol Production\Processes\Cassava,Process Share,Share,%,
Transformation\Bioethanol Production\Processes\Cassava,Renewable Qualified,Percent,,
Transformation\Bioethanol Production\Processes\Cassava,Salvage Value,2020 USD,,Tonne Coal Equiv/Year
Transformation\Bioethanol Production\Processes\Cassava,Stranded Cost,2020 USD,,
Transformation\Bioethanol Production\Processes\Cassava,Variable OM Cost,2020 USD,,Gigajoule
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,Feedstock Fuel Share,U.S. Dollar,,Gigajoule
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,Fuel Cost,U.S. Dollar,,Gigajoule
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,Fuel Source,U.S. Dollar,,Gigajoule
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava\Carbon Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
