branch_path,variable,units,scale,per
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline,Fuel Share,Share,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Gasoline\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene,Fuel Share,Share,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Kerosene\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil,Fuel Share,Share,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Residual Fuel Oil\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
