ams,branch,branch_type,variable,year,value,unit,unit_source
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Energy Generation,2060,6111.075429622641,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Power Generation,2045,119.12875764947604,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Power Generation,2050,91.63750588421235,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Power Generation,2055,4502.919543192003,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Power Generation,2060,4502.919543192003,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Curtailed Energy Production,2045,138.84941890476009,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Curtailed Energy Production,2050,555.3976756190403,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Curtailed Energy Production,2055,5927.005219245285,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Curtailed Energy Production,2060,5927.005219245285,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Energy Generation,2045,132.6596617962306,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Energy Generation,2050,530.6386471849224,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Energy Generation,2055,2364.9669532075463,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Energy Generation,2060,2364.9669532075463,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Power Generation,2045,124.95811828720815,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Power Generation,2050,96.12162945169858,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Power Generation,2055,3114.019812456001,Megawatt,inferred
